,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy volume,Taker buy quote asset volume,Ignore
529,2021-02-18 00:00:00+00:00,52194.62,52640.00,50948.00,51619.70,185489.890,2021-02-18 23:59:59.999000+00:00,9627115933.97444,2199927,88315.345,4584365118.70008,0
530,2021-02-19 00:00:00+00:00,51612.46,56582.00,50800.00,56004.10,257911.872,2021-02-19 23:59:59.999000+00:00,13784775685.92855,2913704,129990.325,6952543903.37133,0
531,2021-02-20 00:00:00+00:00,56005.85,57699.00,53905.00,55917.41,240296.308,2021-02-20 23:59:59.999000+00:00,13529409884.87238,2830372,115701.933,6517025362.77697,0
532,2021-02-21 00:00:00+00:00,55908.45,58472.14,55564.50,57487.43,196820.573,2021-02-21 23:59:59.999000+00:00,11254047090.53712,2277504,97912.556,5599464711.05343,0
533,2021-02-22 00:00:00+00:00,57475.50,57591.87,47751.42,54121.10,480655.731,2021-02-22 23:59:59.999000+00:00,15825173176.62634,4903860,228361.618,7539105719.37319,0
534,2021-02-23 00:00:00+00:00,54125.55,54260.12,44893.82,48930.00,748737.462,2021-02-23 23:59:59.999000+00:00,36297078764.52196,8009736,368110.652,17851832105.34830,0
535,2021-02-24 00:00:00+00:00,48930.01,51435.58,47000.00,49702.03,333415.219,2021-02-24 23:59:59.999000+00:00,16590055728.58514,3748411,165014.334,8212207708.16425,0
536,2021-02-25 00:00:00+00:00,49702.05,52134.96,46685.43,47089.37,349943.016,2021-02-25 23:59:59.999000+00:00,17447887799.89135,3922104,172353.771,8600369481.86736,0
537,2021-02-26 00:00:00+00:00,47087.97,48438.01,44100.00,46313.13,440670.320,2021-02-26 23:59:59.999000+00:00,20499678357.29738,4687978,217772.731,10135954016.12082,0
538,2021-02-27 00:00:00+00:00,46313.12,48476.05,44926.77,46102.63,256027.074,2021-02-27 23:59:59.999000+00:00,12038528819.38199,2956397,126959.956,5969498435.10788,0
539,2021-02-28 00:00:00+00:00,46097.09,46678.00,43002.05,45163.36,370358.825,2021-02-28 23:59:59.999000+00:00,16549302262.98406,4080209,183636.780,8206337628.79557,0
540,2021-03-01 00:00:00+00:00,45162.64,49800.00,44972.49,49592.70,315659.931,2021-03-01 23:59:59.999000+00:00,15061638936.44410,3611436,158078.422,7544487587.25809,0
541,2021-03-02 00:00:00+00:00,49594.99,50221.77,47058.06,48450.57,273100.435,2021-03-02 23:59:59.999000+00:00,13251422043.06818,2970983,133977.099,6501372777.38002,0
542,2021-03-03 00:00:00+00:00,48454.21,52681.51,48110.66,50373.75,350311.234,2021-03-03 23:59:59.999000+00:00,17795826816.36179,3781970,176625.272,8973331373.35146,0
543,2021-03-04 00:00:00+00:00,50373.75,51800.00,47500.00,48385.77,387428.957,2021-03-04 23:59:59.999000+00:00,19138827120.97486,4199301,188509.044,9316363162.04460,0
