,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
551,2021-09-01 13:11:00+00:00,47679.97000000,47686.67000000,47639.12000000,47652.46000000,24.45811000,2021-09-01 13:11:59.999000+00:00,1165555.84109160,668,14.58875000,695167.29958280,0
552,2021-09-01 13:12:00+00:00,47652.47000000,47670.57000000,47623.94000000,47633.03000000,16.97479000,2021-09-01 13:12:59.999000+00:00,808773.21446540,626,7.80566000,371930.87683660,0
553,2021-09-01 13:13:00+00:00,47633.03000000,47644.67000000,47574.94000000,47585.13000000,35.30845000,2021-09-01 13:13:59.999000+00:00,1680969.36315570,723,20.56520000,979081.33612200,0
554,2021-09-01 13:14:00+00:00,47582.01000000,47606.69000000,47569.74000000,47591.83000000,19.15433000,2021-09-01 13:14:59.999000+00:00,911485.53796180,622,9.37040000,445922.56918460,0
555,2021-09-01 13:15:00+00:00,47591.82000000,47619.99000000,47570.10000000,47602.01000000,21.04910000,2021-09-01 13:15:59.999000+00:00,1001889.31112890,667,7.55935000,359851.13705070,0
556,2021-09-01 13:16:00+00:00,47602.01000000,47629.16000000,47594.09000000,47629.16000000,24.10381000,2021-09-01 13:16:59.999000+00:00,1147553.55904920,601,18.06629000,860118.82612160,0
557,2021-09-01 13:17:00+00:00,47629.16000000,47646.50000000,47612.76000000,47616.64000000,16.61947000,2021-09-01 13:17:59.999000+00:00,791510.53185140,558,11.35637000,540841.66445110,0
558,2021-09-01 13:18:00+00:00,47611.98000000,47617.01000000,47506.56000000,47530.43000000,50.43434000,2021-09-01 13:18:59.999000+00:00,2397926.14802120,1227,20.97987000,997434.48193430,0
559,2021-09-01 13:19:00+00:00,47525.88000000,47537.39000000,47456.00000000,47462.90000000,85.31378000,2021-09-01 13:19:59.999000+00:00,4051355.95231800,2054,34.97182000,1660634.57490210,0
560,2021-09-01 13:20:00+00:00,47462.90000000,47499.65000000,47308.20000000,47479.26000000,276.79022000,2021-09-01 13:20:59.999000+00:00,13125449.46685510,4384,147.07432000,6974705.05720650,0
561,2021-09-01 13:21:00+00:00,47479.25000000,47499.92000000,47472.24000000,47489.77000000,38.52218000,2021-09-01 13:21:59.999000+00:00,1829243.69801930,709,26.88182000,1276461.34574510,0
562,2021-09-01 13:22:00+00:00,47489.78000000,47495.36000000,47411.11000000,47431.44000000,55.19172000,2021-09-01 13:22:59.999000+00:00,2618739.85294730,887,25.24590000,1197701.59057720,0
563,2021-09-01 13:23:00+00:00,47431.45000000,47497.12000000,47413.98000000,47497.11000000,49.03843000,2021-09-01 13:23:59.999000+00:00,2326846.28210350,939,33.87489000,1607309.11031030,0
564,2021-09-01 13:24:00+00:00,47497.11000000,47517.23000000,47433.80000000,47433.80000000,42.03614000,2021-09-01 13:24:59.999000+00:00,1995944.01599840,940,20.02352000,950770.94912420,0
565,2021-09-01 13:25:00+00:00,47433.80000000,47486.98000000,47420.52000000,47486.98000000,34.75279000,2021-09-01 13:25:59.999000+00:00,1649241.27888670,821,21.21006000,1006583.39092230,0
566,2021-09-01 13:26:00+00:00,47486.97000000,47500.00000000,47475.24000000,47496.50000000,40.27254000,2021-09-01 13:26:59.999000+00:00,1912696.25814480,652,33.61563000,1596571.14287410,0
567,2021-09-01 13:27:00+00:00,47496.50000000,47500.00000000,47487.05000000,47499.96000000,16.99853000,2021-09-01 13:27:59.999000+00:00,807355.55599460,523,11.88172000,564335.27217640,0
568,2021-09-01 13:28:00+00:00,47499.95000000,47500.00000000,47484.00000000,47499.99000000,23.29993000,2021-09-01 13:28:59.999000+00:00,1106562.85741020,623,16.06842000,763134.70907100,0
569,2021-09-01 13:29:00+00:00,47500.00000000,47509.51000000,47479.01000000,47479.02000000,25.71568000,2021-09-01 13:29:59.999000+00:00,1221377.18925300,656,10.64879000,505775.25278660,0
570,2021-09-01 13:30:00+00:00,47479.01000000,47519.43000000,47479.01000000,47503.08000000,20.39570000,2021-09-01 13:30:59.999000+00:00,968799.31678460,678,11.73170000,557294.44172120,0
571,2021-09-01 13:31:00+00:00,47503.08000000,47545.13000000,47491.66000000,47540.75000000,37.91954000,2021-09-01 13:31:59.999000+00:00,1801864.01617430,800,21.87492000,1039392.20484880,0
572,2021-09-01 13:32:00+00:00,47540.75000000,47550.00000000,47520.91000000,47536.50000000,54.50173000,2021-09-01 13:32:59.999000+00:00,2590976.11478880,929,19.47836000,925953.79518420,0
573,2021-09-01 13:33:00+00:00,47536.50000000,47562.39000000,47536.49000000,47555.55000000,18.55098000,2021-09-01 13:33:59.999000+00:00,882055.16264390,543,13.25624000,630309.98643250,0
574,2021-09-01 13:34:00+00:00,47555.54000000,47562.03000000,47502.93000000,47508.10000000,17.59651000,2021-09-01 13:34:59.999000+00:00,836420.61983030,629,11.22113000,533362.97358620,0
575,2021-09-01 13:35:00+00:00,47508.10000000,47598.54000000,47508.09000000,47594.50000000,52.17680000,2021-09-01 13:35:59.999000+00:00,2481948.99499700,962,33.47447000,1592424.12801860,0
576,2021-09-01 13:36:00+00:00,47594.50000000,47599.44000000,47562.62000000,47577.12000000,49.33999000,2021-09-01 13:36:59.999000+00:00,2348128.54885700,632,34.75529000,1654071.08488280,0
577,2021-09-01 13:37:00+00:00,47577.12000000,47587.15000000,47555.55000000,47582.41000000,14.20693000,2021-09-01 13:37:59.999000+00:00,675878.06092930,588,7.05476000,335618.91707690,0
578,2021-09-01 13:38:00+00:00,47582.41000000,47620.29000000,47582.41000000,47620.21000000,24.34834000,2021-09-01 13:38:59.999000+00:00,1159189.91746910,641,12.63749000,601624.25687340,0
579,2021-09-01 13:39:00+00:00,47620.21000000,47620.21000000,47573.63000000,47593.54000000,24.69726000,2021-09-01 13:39:59.999000+00:00,1175547.77073520,597,12.73966000,606353.95441920,0
580,2021-09-01 13:40:00+00:00,47593.53000000,47619.23000000,47581.05000000,47598.01000000,13.04434000,2021-09-01 13:40:59.999000+00:00,620967.97259790,471,7.95024000,378479.83870160,0
581,2021-09-01 13:41:00+00:00,47598.00000000,47598.00000000,47575.75000000,47580.81000000,18.52826000,2021-09-01 13:41:59.999000+00:00,881729.14286050,544,7.31260000,347978.80622530,0
582,2021-09-01 13:42:00+00:00,47580.82000000,47580.82000000,47530.13000000,47555.04000000,17.69418000,2021-09-01 13:42:59.999000+00:00,841485.52086030,613,7.45372000,354443.34512110,0
583,2021-09-01 13:43:00+00:00,47555.04000000,47565.03000000,47540.00000000,47540.00000000,15.39016000,2021-09-01 13:43:59.999000+00:00,731868.24693950,450,9.93430000,472427.54000000,0
584,2021-09-01 13:44:00+00:00,47543.08000000,47543.08000000,47510.67000000,47516.64000000,12.46169000,2021-09-01 13:44:59.999000+00:00,592332.59524300,496,7.74005000,367908.79120650,0
585,2021-09-01 13:45:00+00:00,47519.07000000,47587.59000000,47510.54000000,47576.45000000,28.86471000,2021-09-01 13:45:59.999000+00:00,1372415.85157000,685,13.21927000,628656.96374890,0
586,2021-09-01 13:46:00+00:00,47576.46000000,47591.63000000,47575.00000000,47575.00000000,12.46305000,2021-09-01 13:46:59.999000+00:00,592986.05630450,506,8.20690000,390479.19740580,0
587,2021-09-01 13:47:00+00:00,47575.00000000,47575.00000000,47519.75000000,47532.75000000,10.02566000,2021-09-01 13:47:59.999000+00:00,476626.30896480,476,3.88760000,184813.85048960,0
588,2021-09-01 13:48:00+00:00,47532.76000000,47549.02000000,47522.93000000,47548.60000000,16.48179000,2021-09-01 13:48:59.999000+00:00,783490.29731970,544,8.13510000,386700.73363040,0
589,2021-09-01 13:49:00+00:00,47548.59000000,47554.51000000,47521.94000000,47526.82000000,17.07833000,2021-09-01 13:49:59.999000+00:00,811924.73569990,494,10.05196000,477873.26236070,0
590,2021-09-01 13:50:00+00:00,47526.82000000,47539.76000000,47526.82000000,47532.92000000,12.66904000,2021-09-01 13:50:59.999000+00:00,602218.04508150,417,3.89774000,185275.99446220,0
591,2021-09-01 13:51:00+00:00,47532.92000000,47548.17000000,47532.91000000,47540.00000000,12.43669000,2021-09-01 13:51:59.999000+00:00,591292.55711270,453,7.15344000,340103.06385160,0
592,2021-09-01 13:52:00+00:00,47540.00000000,47542.52000000,47506.80000000,47542.52000000,30.49344000,2021-09-01 13:52:59.999000+00:00,1449371.59023300,743,15.06446000,716029.11792660,0
593,2021-09-01 13:53:00+00:00,47544.04000000,47554.49000000,47539.10000000,47553.99000000,33.98910000,2021-09-01 13:53:59.999000+00:00,1616096.52184290,585,18.20679000,865716.51412420,0
594,2021-09-01 13:54:00+00:00,47553.99000000,47558.11000000,47532.61000000,47544.86000000,20.45502000,2021-09-01 13:54:59.999000+00:00,972611.00285520,604,6.11179000,290599.13351190,0
595,2021-09-01 13:55:00+00:00,47545.87000000,47548.78000000,47504.28000000,47512.77000000,35.09811000,2021-09-01 13:55:59.999000+00:00,1668092.04929760,800,13.19488000,627060.36381640,0
596,2021-09-01 13:56:00+00:00,47512.77000000,47535.03000000,47465.39000000,47471.73000000,38.99724000,2021-09-01 13:56:59.999000+00:00,1852659.43619550,886,21.08376000,1001743.56505530,0
597,2021-09-01 13:57:00+00:00,47471.73000000,47487.35000000,47425.71000000,47457.49000000,32.03675000,2021-09-01 13:57:59.999000+00:00,1520226.17079940,851,13.35081000,633577.05975690,0
598,2021-09-01 13:58:00+00:00,47450.06000000,47468.00000000,47439.21000000,47445.39000000,18.05889000,2021-09-01 13:58:59.999000+00:00,856958.66146600,551,7.18875000,341126.58722990,0
599,2021-09-01 13:59:00+00:00,47445.40000000,47478.02000000,47430.01000000,47468.06000000,27.93114000,2021-09-01 13:59:59.999000+00:00,1325420.32005220,590,8.46222000,401600.42800490,0
600,2021-09-01 14:00:00+00:00,47468.07000000,47498.17000000,47468.07000000,47498.16000000,24.38144000,2021-09-01 14:00:59.999000+00:00,1157763.56364800,685,15.47045000,734612.31401050,0
601,2021-09-01 14:01:00+00:00,47498.17000000,47498.17000000,47417.09000000,47450.12000000,47.81376000,2021-09-01 14:01:59.999000+00:00,2268791.14855610,1137,21.12139000,1002212.19414540,0
602,2021-09-01 14:02:00+00:00,47450.13000000,47474.18000000,47446.95000000,47473.04000000,20.41631000,2021-09-01 14:02:59.999000+00:00,968971.04792860,667,8.69276000,412571.33170360,0
603,2021-09-01 14:03:00+00:00,47473.03000000,47473.04000000,47423.65000000,47423.66000000,16.77589000,2021-09-01 14:03:59.999000+00:00,795974.94303240,553,5.71527000,271174.38264830,0
604,2021-09-01 14:04:00+00:00,47423.66000000,47454.74000000,47423.66000000,47440.53000000,26.75135000,2021-09-01 14:04:59.999000+00:00,1269027.98419230,821,12.42202000,589270.32822850,0
605,2021-09-01 14:05:00+00:00,47440.53000000,47455.43000000,47430.96000000,47446.93000000,23.70221000,2021-09-01 14:05:59.999000+00:00,1124588.02728510,686,12.84983000,609654.02418600,0
606,2021-09-01 14:06:00+00:00,47446.89000000,47450.72000000,47420.57000000,47432.34000000,18.09288000,2021-09-01 14:06:59.999000+00:00,858229.35047310,642,11.31465000,536709.02882110,0
607,2021-09-01 14:07:00+00:00,47432.34000000,47433.06000000,47402.89000000,47425.35000000,42.59593000,2021-09-01 14:07:59.999000+00:00,2019853.74283030,952,24.82992000,1177348.91809700,0
608,2021-09-01 14:08:00+00:00,47425.35000000,47426.20000000,47388.20000000,47399.76000000,25.54851000,2021-09-01 14:08:59.999000+00:00,1211262.50832710,852,10.80233000,512147.28813210,0
609,2021-09-01 14:09:00+00:00,47399.75000000,47399.76000000,47379.00000000,47389.76000000,20.78144000,2021-09-01 14:09:59.999000+00:00,984840.65621110,711,5.76995000,273447.09169300,0
610,2021-09-01 14:10:00+00:00,47389.76000000,47437.69000000,47363.80000000,47436.38000000,51.21189000,2021-09-01 14:10:59.999000+00:00,2427200.58884800,1010,22.16982000,1050761.13587110,0
611,2021-09-01 14:11:00+00:00,47436.38000000,47466.31000000,47435.42000000,47462.50000000,22.46532000,2021-09-01 14:11:59.999000+00:00,1066084.84417840,754,11.86811000,563174.99128270,0
612,2021-09-01 14:12:00+00:00,47462.50000000,47472.49000000,47435.42000000,47471.48000000,19.35312000,2021-09-01 14:12:59.999000+00:00,918489.88722280,746,12.14420000,576354.95123820,0
613,2021-09-01 14:13:00+00:00,47471.47000000,47512.75000000,47471.47000000,47503.02000000,25.60500000,2021-09-01 14:13:59.999000+00:00,1216083.87837310,793,16.98997000,806954.19739510,0
614,2021-09-01 14:14:00+00:00,47503.01000000,47511.49000000,47462.51000000,47466.39000000,22.28489000,2021-09-01 14:14:59.999000+00:00,1058466.42636200,793,12.29825000,584133.50680960,0
615,2021-09-01 14:15:00+00:00,47466.39000000,47539.66000000,47452.49000000,47533.27000000,44.94898000,2021-09-01 14:15:59.999000+00:00,2135298.54798650,940,22.32626000,1060680.89245240,0
616,2021-09-01 14:16:00+00:00,47533.27000000,47547.30000000,47515.15000000,47527.46000000,38.47958000,2021-09-01 14:16:59.999000+00:00,1829007.28443610,850,20.48172000,973516.99953340,0
617,2021-09-01 14:17:00+00:00,47527.45000000,47551.92000000,47520.01000000,47522.80000000,37.47934000,2021-09-01 14:17:59.999000+00:00,1781661.47371860,759,18.68201000,888046.48545830,0
618,2021-09-01 14:18:00+00:00,47525.89000000,47539.35000000,47509.69000000,47518.33000000,31.32411000,2021-09-01 14:18:59.999000+00:00,1488735.82741830,643,14.90439000,708331.70737650,0
619,2021-09-01 14:19:00+00:00,47518.32000000,47523.65000000,47471.40000000,47510.30000000,29.19681000,2021-09-01 14:19:59.999000+00:00,1386798.01207080,763,16.14466000,766801.12011010,0
620,2021-09-01 14:20:00+00:00,47511.72000000,47545.75000000,47502.02000000,47540.63000000,19.34535000,2021-09-01 14:20:59.999000+00:00,919556.20141620,639,9.12194000,433569.12051520,0
621,2021-09-01 14:21:00+00:00,47540.63000000,47545.00000000,47521.50000000,47534.96000000,28.22797000,2021-09-01 14:21:59.999000+00:00,1341741.84968400,937,16.93072000,804752.51716870,0
622,2021-09-01 14:22:00+00:00,47539.71000000,47547.56000000,47539.70000000,47545.75000000,29.66356000,2021-09-01 14:22:59.999000+00:00,1410263.50325800,565,16.96600000,806593.02048740,0
623,2021-09-01 14:23:00+00:00,47545.75000000,47575.11000000,47544.00000000,47569.99000000,25.30519000,2021-09-01 14:23:59.999000+00:00,1203508.11523270,681,17.87749000,850235.28250990,0
624,2021-09-01 14:24:00+00:00,47570.00000000,47576.46000000,47533.22000000,47556.13000000,26.27687000,2021-09-01 14:24:59.999000+00:00,1249766.42127890,860,14.77328000,702600.81581020,0
